Education,Marital_Status,Income,Days_Since_Enrolled,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,HasKid,HasTeen,Age
Bachelor,Divorced,84835.0,2378,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,0,0,50
Bachelor,Single,57091.0,2379,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,0,0,59
Bachelor,Married,67267.0,2412,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,0,1,62
Bachelor,Together,32474.0,2414,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AU,1,1,53
Bachelor,Single,21474.0,2447,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,1,0,31
PhD,Single,71691.0,2469,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,0,0,62
Master,Married,63564.0,2516,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,DE,0,0,66
Bachelor,Together,44931.0,2527,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,0,1,53
PhD,Married,65324.0,2534,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,0,1,66
PhD,Married,65324.0,2534,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IN,0,1,66
Master,Married,81044.0,2549,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,0,0,73
Master,Together,62499.0,2567,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,1,0,41
PhD,Widow,67786.0,2569,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IN,0,0,61
Bachelor,Married,26872.0,2621,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,0,0,39
Bachelor,Married,4428.0,2632,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,0,1,51
Bachelor,Married,54809.0,2656,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,1,1,43
Bachelor,Married,54809.0,2656,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,1,1,43
PhD,Divorced,32173.0,2697,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,0,1,62
Master,Single,47823.0,2706,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,0,1,60
Master,Single,30523.0,2728,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,1,1,62
Master,Together,36634.0,2762,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,0,1,66
Master,Single,43456.0,2825,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IN,0,1,54
Master,Married,40662.0,2836,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,DE,1,0,41
PhD,Married,49544.0,2867,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,1,0,44
Bachelor,Single,57731.0,2948,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IN,0,1,51
Master,Single,33168.0,2989,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,0,1,55
Bachelor,Together,54450.0,3018,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,1,1,64
Bachelor,Together,54450.0,3018,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,1,1,64
PhD,Widow,35340.0,2365,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,1,1,64
Bachelor,Single,73170.0,2394,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,0,0,45
PhD,Divorced,65808.0,2395,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,1,1,49
Bachelor,Married,79529.0,2428,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,0,0,34
PhD,Together,34578.0,2444,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AU,1,1,48
PhD,Married,46374.0,2469,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IN,0,1,46
Bachelor,Married,18351.0,2608,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,0,0,30
PhD,Single,95169.0,2628,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,0,0,33
Master,Married,65370.0,2697,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,0,0,36
Master,Divorced,39228.0,2780,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,0,0,60
PhD,Single,84865.0,2781,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,0,0,59
Bachelor,Married,61314.0,2795,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,0,1,52
Bachelor,Single,21359.0,2800,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,1,0,48
PhD,Married,66465.0,2821,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,0,1,65
Master,Single,81698.0,2850,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,0,0,37
Bachelor,Single,39146.0,2865,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,1,0,34
Master,Divorced,25959.0,2865,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,1,1,50
Bachelor,Together,64260.0,2899,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,0,0,59
Bachelor,Married,32300.0,2907,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,1,0,47
Master,Married,74806.0,2922,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AU,0,1,55
Bachelor,Divorced,72967.0,2926,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,DE,0,1,50
Bachelor,Single,48904.0,2939,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,0,1,60
Master,Married,14796.0,3015,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,DE,1,0,36
Master,Married,66991.0,3021,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,DE,0,0,66
Master,Single,52195.0,2413,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,1,1,42
Bachelor,Married,90369.0,2427,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,0,0,64
